route,med_group,dose_form
inhalation,SAMA,Inhalant
inhalation,SAMA,Inhalation Powder
inhalation,SAMA,Inhalation Solution
inhalation,SAMA,Inhalation Suspension
inhalation,SAMA,Metered Dose Inhaler
inhalation,SAMA,Dry Powder Inhaler
inhalation,SAMA,Gas for Inhalation
inhalation,SABA,Inhalant
inhalation,SABA,Inhalation Powder
inhalation,SABA,Inhalation Solution
inhalation,SABA,Inhalation Suspension
inhalation,SABA,Metered Dose Inhaler
inhalation,SABA,Dry Powder Inhaler
inhalation,SABA,Gas for Inhalation
inhalation,LAMA,Inhalant
inhalation,LAMA,Inhalation Powder
inhalation,LAMA,Inhalation Solution
inhalation,LAMA,Inhalation Suspension
inhalation,LAMA,Metered Dose Inhaler
inhalation,LAMA,Dry Powder Inhaler
inhalation,LAMA,Gas for Inhalation
inhalation,LABA,Inhalant
inhalation,LABA,Inhalation Powder
inhalation,LABA,Inhalation Solution
inhalation,LABA,Inhalation Suspension
inhalation,LABA,Metered Dose Inhaler
inhalation,LABA,Dry Powder Inhaler
inhalation,LABA,Gas for Inhalation
inhalation,ICS,Inhalant
inhalation,ICS,Inhalation Powder
inhalation,ICS,Inhalation Solution
inhalation,ICS,Inhalation Suspension
inhalation,ICS,Metered Dose Inhaler
inhalation,ICS,Dry Powder Inhaler
inhalation,ICS,Gas for Inhalation
injection,Systemic glucocorticoids,Injectable Solution
injection,Systemic glucocorticoids,Injectable Suspension
injection,Systemic glucocorticoids,Auto-Injector
injection,Systemic glucocorticoids,Intravenous Solution
injection,Systemic glucocorticoids,Prefilled Syringe
injection,Systemic glucocorticoids,Injection
injection,Systemic glucocorticoids,Intramuscular Solution
injection,Systemic B2 agonist,Injectable Solution
injection,Systemic B2 agonist,Injectable Suspension
injection,Systemic B2 agonist,Auto-Injector
injection,Systemic B2 agonist,Intravenous Solution
injection,Systemic B2 agonist,Prefilled Syringe
injection,Systemic B2 agonist,Injection
injection,Systemic B2 agonist,Intramuscular Solution
injection,Anti IL5(R),Injectable Solution
injection,Anti IL5(R),Injectable Suspension
injection,Anti IL5(R),Auto-Injector
injection,Anti IL5(R),Intravenous Solution
injection,Anti IL5(R),Prefilled Syringe
injection,Anti IL5(R),Injection
injection,Anti IL5(R),Intramuscular Solution
injection,Anti IgE,Injectable Solution
injection,Anti IgE,Injectable Suspension
injection,Anti IgE,Auto-Injector
injection,Anti IgE,Intravenous Solution
injection,Anti IgE,Prefilled Syringe
injection,Anti IgE,Injection
injection,Anti IgE,Intramuscular Solution
injection,Anti IL4R,Injectable Solution
injection,Anti IL4R,Injectable Suspension
injection,Anti IL4R,Auto-Injector
injection,Anti IL4R,Intravenous Solution
injection,Anti IL4R,Prefilled Syringe
injection,Anti IL4R,Injection
injection,Anti IL4R,Intramuscular Solution
oral,Xanthines,Buccal Tablet
oral,Xanthines,Delayed Release Oral Tablet
oral,Xanthines,Disintegrating Oral Tablet
oral,Xanthines,Chewable Tablet
oral,Xanthines,Delayed Release Oral Capsule
oral,Xanthines,Extended Release Oral Tablet
oral,Xanthines,Extended Release Suspension
oral,Xanthines,Oral Capsule
oral,Xanthines,Oral Gel
oral,Xanthines,Oral Granules
oral,Xanthines,Oral Lozenge
oral,Xanthines,Oral Ointment
